file,group,snr_in,snr_out,ssnr_in,ssnr_out,pesq_nb,pesq_wb,stoi,si_sdr
p317_256_snr-5,low,-5.000002068148113,13.030149942370164,-6.656386501556375,5.13158033100806,2.42171049118042,1.7728707790374756,0.6775985173695344,13.58141546735916
p317_263_snr+0,low,3.880300422604936e-05,10.34948871323932,-4.743914895135223,5.161147308009641,2.664799451828003,2.0230369567871094,0.7827601124741154,10.071384257567734
p317_333_snr+0,low,-1.3973627621583848e-05,12.072464850228046,-4.09999123692219,5.88638815494696,2.950047731399536,2.1831915378570557,0.7664749749217393,11.92353757660537
p317_335_snr+15,mid,14.999923947736072,19.45146946485542,3.679525200755259,7.616864089423959,4.293976306915283,2.9686944484710693,0.9161099082372214,19.434347607440262
p317_364_snr+10,mid,9.999916220242914,17.213384804728214,1.0410431335870465,8.002259794628847,3.5859081745147705,2.82161545753479,0.7340898861935174,17.189187923662566
p317_395_snr+10,mid,9.999991210898099,17.69371438315875,-0.3228889929383277,7.200413202149875,3.2181568145751953,2.589221477508545,0.7597480996237511,17.73932098568338
p318_021_snr+5,low,4.9999970054633565,15.193601468490321,-0.8223356708304029,8.679052284819702,2.911283016204834,2.1568963527679443,0.8935184684320872,15.221014861961947
p318_037_snr-5,low,-5.0000005725117695,8.80638503771209,-6.884859448125579,2.505857974669394,1.9944756031036377,1.5871556997299194,0.6701593910044688,9.4142111383424
p318_039_snr+0,low,-5.553414683950265e-06,17.14393893240201,-5.122604399241566,6.126403556941758,3.2124462127685547,2.2110676765441895,0.6633589888472254,17.065792888770034
p318_080_snr-5,low,-5.000008824442446,8.278650711507256,-6.808422829835709,2.11575339873451,2.2205045223236084,1.5253441333770752,0.7321721370416788,14.701695577122036
p318_162_snr+15,high,15.000047381867748,21.811979163828042,4.948516961830315,10.917747468153847,4.068798065185547,3.159979820251465,0.8762539324778841,21.891604380602697
p318_164_snr+0,low,-6.025468253269676e-07,17.698149031821227,-3.6946074070603516,7.6496467846919085,2.844942092895508,2.1923723220825195,0.7730937446136684,17.659401135740566
p318_194_snr+0,low,2.5452333191443626e-05,14.030325625835186,-3.520324418551484,8.364696260402505,2.587728977203369,1.9332085847854614,0.8794379866078936,15.150729723103343
p318_201_snr+0,low,-1.2853066929451248e-05,15.707905996326485,-2.2820911005659896,8.229985025189384,3.3342702388763428,2.3234667778015137,0.8775247780566818,15.731515462622381
p318_265_snr+0,low,3.941993014410927e-06,14.307701624086937,-6.201169273261323,4.465111431803956,2.914019823074341,2.3664402961730957,0.9457657115585989,14.400233231243247
p318_397_snr-5,low,-4.999998569539476,7.904601586343181,-7.583867669038327,1.8507548791295059,1.8774352073669434,1.4415382146835327,0.7607042723503005,9.652759156467276
p323_050_snr+0,low,-6.218033496048737e-06,12.192438075913019,-4.7024440959558005,3.7182820467731275,2.386183977127075,1.6687982082366943,0.8556746318170652,12.008969578194373
p323_064_snr-5,low,-4.999998322987213,8.239269006943212,-5.941049016347715,2.181488961303941,3.039792060852051,2.0884950160980225,0.9524434789206455,19.278976813065356
p323_127_snr+15,mid,14.999973797730581,20.451817517520993,3.585066889089119,9.351127168507963,3.0800118446350098,2.3613648414611816,0.9634489834847694,20.436955590839354
p323_129_snr+10,mid,9.999996529851213,22.119420514711933,0.5410906822104945,9.995654269000111,3.424752712249756,2.6473193168640137,0.9457926202768622,22.092943515962343
